Year,Date,Experiment,Plot,Species,Mass(g),Mass g/m^2)
2007,10/05/07,E244,12,Cyperus sp.,0.2,2
2007,10/05/07,E244,12,Erigeron canadensis,1.54,15.4
2007,10/05/07,E244,12,Hedeoma hispida,0.25,2.5
2007,10/05/07,E244,12,Lepidium densiflorum,0.01,0.1
2007,10/05/07,E244,12,Schizachyrium scoparium,0.04,0.4
2007,10/05/07,E244,12,Taraxicum officinalis,0.01,0.1
2007,09/18/07,E244,13,Achillea millefolium(lanulosa),0.82,8.2
2007,09/18/07,E244,13,Agrostis scabra,0.09,0.9
2007,09/18/07,E244,13,Aristida basiramea,1.56,15.6
2007,09/18/07,E244,13,Crepis tectorum,0.13,1.3
2007,09/18/07,E244,13,Digitaria sp.,0.04,0.4
2007,09/18/07,E244,13,Erigeron canadensis,0.4,4
2007,09/18/07,E244,13,Hedeoma hispida,0.1,1
2007,09/18/07,E244,13,Lepidium densiflorum,0.01,0.1
2007,09/18/07,E244,13,Polygonum tenue,0.22,2.2
2007,09/19/07,E244,14,Achillea millefolium(lanulosa),0.91,9.1
2007,09/19/07,E244,14,Agrostis scabra,0.05,0.5
2007,09/19/07,E244,14,Aristida basiramea,2.3,23
2007,09/19/07,E244,14,Bouteloua gracilis,0.22,2.2
2007,09/19/07,E244,14,Eragrostis spectabilis,1.07,10.7
2007,09/19/07,E244,14,Erigeron canadensis,0.017,0.17
2007,09/19/07,E244,14,Lupinus perennis,0.03,0.3
2007,10/16/07,E244,15,Achillea millefolium(lanulosa),0.26,2.6
2007,10/16/07,E244,15,Aristida basiramea,2.26,22.6
2007,10/16/07,E244,15,Bouteloua gracilis,0.14,1.4
2007,10/16/07,E244,15,Crepis tectorum,0.06,0.6
2007,10/16/07,E244,15,Cyperus sp.,0.74,7.4
2007,10/16/07,E244,15,Rumex acetosella,0.27,2.7
2007,10/16/07,E244,15,Schizachyrium scoparium,0.72,7.2
2007,10/05/07,E244,20,Amorpha canescens,1.51,15.1
2007,10/05/07,E244,20,Andropogon gerardi,1.89,18.9
2007,10/05/07,E244,20,Bouteloua gracilis,1.75,17.5
2007,10/05/07,E244,20,Lespedeza capitata,0.16,1.6
2007,10/05/07,E244,20,Lupinus perennis,3.53,35.3
2007,10/05/07,E244,20,Panicum virgatum,0.08,0.8
2007,10/05/07,E244,20,Petalostemum purpureum,2.19,21.9
2007,10/05/07,E244,20,Schizachyrium scoparium,2.2,22
2007,10/05/07,E244,20,Solidago rigida,0.04,0.4
2007,10/05/07,E244,20,Sorghastrum nutans,0.65,6.5
2007,10/16/07,E244,19,Achillea millefolium(lanulosa),0.06,0.6
2007,10/16/07,E244,19,Andropogon gerardi,0.08,0.8
2007,10/16/07,E244,19,Bouteloua gracilis,3.83,38.3
2007,10/16/07,E244,19,Coreopsis palmata,6.57,65.7
2007,10/16/07,E244,19,Lespedeza capitata,2.06,20.6
2007,10/16/07,E244,19,Liatris aspera,4.55,45.5
2007,10/16/07,E244,19,Lupinus perennis,2.05,20.5
2007,10/16/07,E244,19,Monarda fistulosa,0.11,1.1
2007,10/16/07,E244,19,Petalostemum purpureum,0.95,9.5
2007,10/16/07,E244,19,Schizachyrium scoparium,4.17,41.7
2007,10/16/07,E244,19,Solidago nemoralis,0.47,4.7
2007,10/16/07,E244,19,Sporobolus cryptandrus,0.08,0.8
2007,10/02/07,E244,18,Achillea millefolium(lanulosa),0.14,1.4
2007,10/02/07,E244,18,Bouteloua gracilis,0.22,2.2
2007,10/02/07,E244,18,Coreopsis palmata,2.29,22.9
2007,10/02/07,E244,18,Cyperus sp.,0.26,2.6
2007,10/02/07,E244,18,Lespedeza capitata,0.17,1.7
2007,10/02/07,E244,18,Lupinus perennis,6.32,63.2
2007,10/02/07,E244,18,Petalostemum candidum,0.04,0.4
2007,10/02/07,E244,18,Petalostemum purpureum,0.15,1.5
2007,10/02/07,E244,18,Petalostemum villosum,0.35,3.5
2007,10/02/07,E244,18,Schizachyrium scoparium,0.87,8.7
2007,10/02/07,E244,18,Solidago rigida,1.49,14.9
2007,10/02/07,E244,17,Achillea millefolium(lanulosa),0.01,0.1
2007,10/02/07,E244,17,Andropogon gerardi,2.92,29.2
2007,10/02/07,E244,17,Bouteloua gracilis,3.87,38.7
2007,10/02/07,E244,17,Lespedeza capitata,3.12,31.2
2007,10/02/07,E244,17,Liatris aspera,2.52,25.2
2007,10/02/07,E244,17,Lupinus perennis,1.15,11.5
2007,10/02/07,E244,17,Panicum virgatum,0.07,0.7
2007,10/02/07,E244,17,Petalostemum villosum,5.65,56.5
2007,10/02/07,E244,17,Schizachyrium scoparium,1.82,18.2
2007,10/02/07,E244,17,Sorghastrum nutans,0.15,1.5
2007,10/02/07,E244,16,Achillea millefolium(lanulosa),0.08,0.8
2007,10/02/07,E244,16,Andropogon gerardi,0.77,7.7
2007,10/02/07,E244,16,Bouteloua gracilis,2.37,23.7
2007,10/02/07,E244,16,Lespedeza capitata,3.87,38.7
2007,10/02/07,E244,16,Lupinus perennis,3.18,31.8
2007,10/02/07,E244,16,Petalostemum candidum,0.76,7.6
2007,10/02/07,E244,16,Petalostemum purpureum,0.1,1
2007,10/02/07,E244,16,Poa pratensis,0.19,1.9
2007,10/02/07,E244,16,Schizachyrium scoparium,2.42,24.2
2007,10/16/07,E244,25,Achillea millefolium(lanulosa),0.02,0.2
2007,10/16/07,E244,25,Andropogon gerardi,6.18,61.8
2007,10/16/07,E244,25,Lespedeza capitata,0.76,7.6
2007,10/16/07,E244,25,Lupinus perennis,0.73,7.3
2007,10/16/07,E244,25,Panicum virgatum,0.19,1.9
2007,10/16/07,E244,25,Poa pratensis,0.24,2.4
2007,10/16/07,E244,25,Schizachyrium scoparium,0.67,6.7
2007,10/16/07,E244,25,Solidago rigida,0.53,5.3
2007,10/16/07,E244,25,Sorghastrum nutans,0.84,8.4
2007,10/02/07,E244,24,Agropyron repens,0.25,2.5
2007,10/02/07,E244,24,Andropogon gerardi,8.81,88.1
2007,10/02/07,E244,24,Cyperus sp.,0.02,0.2
2007,10/02/07,E244,24,Lespedeza capitata,1.79,17.9
2007,10/02/07,E244,24,Lupinus perennis,1.33,13.3
2007,10/02/07,E244,24,Monarda fistulosa,0.23,2.3
2007,10/02/07,E244,24,Panicum virgatum,0.1,1
2007,10/02/07,E244,24,Poa pratensis,1.95,19.5
2007,10/02/07,E244,24,Schizachyrium scoparium,0.93,9.3
2007,10/02/07,E244,24,Solidago rigida,0.02,0.2
2007,10/02/07,E244,24,Sorghastrum nutans,0.49,4.9
2007,10/05/07,E244,23,Agropyron repens,0.21,2.1
2007,10/05/07,E244,23,Andropogon gerardi,19.38,193.8
2007,10/05/07,E244,23,Lespedeza capitata,0.01,0.1
2007,10/05/07,E244,23,Lupinus perennis,5.34,53.4
2007,10/05/07,E244,23,Poa pratensis,1.95,19.5
2007,10/05/07,E244,23,Schizachyrium scoparium,3.08,30.8
2007,10/05/07,E244,23,Sorghastrum nutans,0.28,2.8
2007,10/16/07,E244,22,Agropyron repens,0.15,1.5
2007,10/16/07,E244,22,Andropogon gerardi,4.89,48.9
2007,10/16/07,E244,22,Lespedeza capitata,1.39,13.9
2007,10/16/07,E244,22,Liatris aspera,3.75,37.5
2007,10/16/07,E244,22,Lupinus perennis,2.96,29.6
2007,10/16/07,E244,22,Panicum virgatum,0.28,2.8
2007,10/16/07,E244,22,Poa pratensis,0.01,0.1
2007,10/16/07,E244,22,Schizachyrium scoparium,3.92,39.2
2007,10/16/07,E244,22,Sorghastrum nutans,0.59,5.9
2007,10/16/07,E244,21,Andropogon gerardi,2.76,27.6
2007,10/16/07,E244,21,Lupinus perennis,2.56,25.6
2007,10/16/07,E244,21,Poa pratensis,0.9,9
2007,10/16/07,E244,21,Schizachyrium scoparium,1.52,15.2
2007,10/16/07,E244,21,Solidago rigida,0.31,3.1
2007,10/16/07,E244,21,Sorghastrum nutans,0.23,2.3
2007,09/18/07,E244,30,Achillea millefolium(lanulosa),0.09,0.9
2007,09/18/07,E244,30,Aristida basiramea,0.23,2.3
2007,09/18/07,E244,30,Euphorbia glyptosperma,0.01,0.1
2007,09/18/07,E244,30,Lespedeza capitata,0.01,0.1
2007,09/18/07,E244,30,Lupinus perennis,1,10
2007,09/18/07,E244,30,Schizachyrium scoparium,0.07,0.7
2007,10/16/07,E244,29,Agropyron repens,0.31,3.1
2007,10/16/07,E244,29,Aristida basiramea,0.07,0.7
2007,10/16/07,E244,29,Cyperus sp.,0.47,4.7
2007,10/16/07,E244,29,Euphorbia glyptosperma,0.1,1
2007,10/16/07,E244,29,Lepidium densiflorum,0.01,0.1
2007,10/16/07,E244,29,Lupinus perennis,1.71,17.1
